City,Tourist Spot 1,Tourist Spot 2,Tourist Spot 3,Breakfast Spot 1,Breakfast Spot 2,Breakfast Spot 3,Dinner Spot 1,Dinner Spot 2,Dinner Spot 3,Combined_Features,Cluster
Mumbai,Gateway of India,Marine Drive,Elephanta Caves,"Ram Ashraya, Matunga","Cafe Madras, Matunga","Kyani & Co., Marine Lines","Aaswad, Dadar","Sarvi, Byculla","Candies, Bandra","gateway of india marine drive elephanta caves ram ashraya, matunga cafe madras, matunga kyani & co., marine lines aaswad, dadar sarvi, byculla candies, bandra",3
Delhi,Red Fort,India Gate,Qutub Minar,"Saravana Bhavan, CP","Sita Ram Diwan Chand, Paharganj",Andhra Bhavan Canteen,"Karim's, Jama Masjid","Rajinder Da Dhaba, Safdarjung","Saravana Bhavan, CP","red fort india gate qutub minar saravana bhavan, cp sita ram diwan chand, paharganj andhra bhavan canteen karim's, jama masjid rajinder da dhaba, safdarjung saravana bhavan, cp",1
Bangalore,Lalbagh Botanical Garden,Bangalore Palace,Cubbon Park,Vidyarthi Bhavan,CTR (Sri Sagar),Airlines Hotel,"MTR, Lalbagh","Nagarjuna, Residency Road",Rameshwaram Cafe,"lalbagh botanical garden bangalore palace cubbon park vidyarthi bhavan ctr (sri sagar) airlines hotel mtr, lalbagh nagarjuna, residency road rameshwaram cafe",1
Hyderabad,Charminar,Golconda Fort,Hussain Sagar Lake,"Chutneys, Banjara Hills",Govind Dosas,Ram ki Bandi,Shah Ghouse Cafe,Hotel Shadab,"Bawarchi, RTC X Roads","charminar golconda fort hussain sagar lake chutneys, banjara hills govind dosas ram ki bandi shah ghouse cafe hotel shadab bawarchi, rtc x roads",3
Chennai,Marina Beach,Kapaleeshwarar Temple,Fort St. George,Murugan Idli Shop,Rayar's Mess,Ratna Cafe,Junior Kuppanna,Mathsya,Sangeetha Veg Restaurant,marina beach kapaleeshwarar temple fort st. george murugan idli shop rayar's mess ratna cafe junior kuppanna mathsya sangeetha veg restaurant,1
Kolkata,Victoria Memorial,Howrah Bridge,Indian Museum,Kewpies Kitchen,Balwant Singh Eating House,Flurys,6 Ballygunge Place,Peter Cat,Arsalan,victoria memorial howrah bridge indian museum kewpies kitchen balwant singh eating house flurys 6 ballygunge place peter cat arsalan,0
Pune,Shaniwar Wada,Aga Khan Palace,Sinhagad Fort,Vaishali Restaurant,Good Luck Cafe,Vohuman Cafe,SP's Biryani House,Durvankur Dining Hall,Rasoi Dining Hall,shaniwar wada aga khan palace sinhagad fort vaishali restaurant good luck cafe vohuman cafe sp's biryani house durvankur dining hall rasoi dining hall,2
Ahmedabad,Sabarmati Ashram,Adalaj Stepwell,Kankaria Lake,The Project Cafe,Gopi Dining Hall,Jay Bhavani,Agashiye,Gordhan Thal,Swati Snacks,sabarmati ashram adalaj stepwell kankaria lake the project cafe gopi dining hall jay bhavani agashiye gordhan thal swati snacks,3
Jaipur,Hawa Mahal,Amber Fort,City Palace,Laxmi Misthan Bhandar (LMB),Rawat Mishtan Bhandar,Indian Coffee House,Niros,Spice Court,Handi Restaurant,hawa mahal amber fort city palace laxmi misthan bhandar (lmb) rawat mishtan bhandar indian coffee house niros spice court handi restaurant,1
Lucknow,Bara Imambara,Rumi Darwaza,Hazratganj Market,Rati Lalâ€™s Khasta Kachori,Netram Ajay Kumar,Sharma Ji Ki Chai,Tunday Kababi,Dastarkhwan,Mubeen's,bara imambara rumi darwaza hazratganj market rati lalâ€™s khasta kachori netram ajay kumar sharma ji ki chai tunday kababi dastarkhwan mubeen's,0
Indore,Rajwada Palace,Kanch Mandir,Bada Ganapati Temple,56 Dukan,Apna Sweets,Shreemaya Celebrity,Nafees Restaurant,Vijay Chaat House,Guru Kripa Restaurant,rajwada palace kanch mandir bada ganapati temple 56 dukan apna sweets shreemaya celebrity nafees restaurant vijay chaat house guru kripa restaurant,2
Bhopal,Upper Lake (Bhojtal),Van Vihar National Park,Madhya Pradesh Tribal Museum,Manohar Dairy & Restaurant,Sagar Gaire Fast Food Corner,Raju Tea Stall,Zam Zam,Under the Jamun Tree,Green House Bistro,upper lake (bhojtal) van vihar national park madhya pradesh tribal museum manohar dairy & restaurant sagar gaire fast food corner raju tea stall zam zam under the jamun tree green house bistro,2
Nagpur,Deekshabhoomi,Futala Lake,Sitabuldi Fort,Mintleaf Restaurant,The Breakfast Story,Reddy's All About Idli,Barbecue Restaurant,Ashoka Restaurant,Thaat Baat,deekshabhoomi futala lake sitabuldi fort mintleaf restaurant the breakfast story reddy's all about idli barbecue restaurant ashoka restaurant thaat baat,1
